Essay ID,Edit Style,System,Metric,Submetric,Score
1,Minimal,UAM-CSI,GLEU,,37.0
2,Minimal,UAM-CSI,GLEU,,49.21
3,Minimal,UAM-CSI,GLEU,,28.94
4,Minimal,UAM-CSI,GLEU,,19.6
5,Minimal,UAM-CSI,GLEU,,62.7
6,Minimal,UAM-CSI,GLEU,,55.51
7,Minimal,UAM-CSI,GLEU,,51.15
8,Minimal,UAM-CSI,GLEU,,19.02
9,Minimal,UAM-CSI,GLEU,,25.46
10,Minimal,UAM-CSI,GLEU,,69.96
11,Minimal,UAM-CSI,GLEU,,63.14
12,Minimal,UAM-CSI,GLEU,,37.75
13,Minimal,UAM-CSI,GLEU,,51.36
14,Minimal,UAM-CSI,GLEU,,41.67
15,Minimal,UAM-CSI,GLEU,,65.53
16,Minimal,UAM-CSI,GLEU,,56.7
17,Minimal,UAM-CSI,GLEU,,61.02
18,Minimal,UAM-CSI,GLEU,,63.28
19,Minimal,UAM-CSI,GLEU,,38.25
20,Minimal,UAM-CSI,GLEU,,37.32
21,Minimal,UAM-CSI,GLEU,,47.46
22,Minimal,UAM-CSI,GLEU,,34.83
23,Minimal,UAM-CSI,GLEU,,56.48
24,Minimal,UAM-CSI,GLEU,,51.64
25,Minimal,UAM-CSI,GLEU,,82.99
26,Minimal,UAM-CSI,GLEU,,62.56
27,Minimal,UAM-CSI,GLEU,,56.47
28,Minimal,UAM-CSI,GLEU,,41.65
29,Minimal,UAM-CSI,GLEU,,71.2
30,Minimal,UAM-CSI,GLEU,,53.48
31,Minimal,UAM-CSI,GLEU,,55.68
32,Minimal,UAM-CSI,GLEU,,49.24
33,Minimal,UAM-CSI,GLEU,,36.69
34,Minimal,UAM-CSI,GLEU,,33.26
35,Minimal,UAM-CSI,GLEU,,59.06
36,Minimal,UAM-CSI,GLEU,,56.81
37,Minimal,UAM-CSI,GLEU,,72.7
38,Minimal,UAM-CSI,GLEU,,61.34
39,Minimal,UAM-CSI,GLEU,,34.74
40,Minimal,UAM-CSI,GLEU,,73.57
41,Minimal,UAM-CSI,GLEU,,57.56
42,Minimal,UAM-CSI,GLEU,,59.57
43,Minimal,UAM-CSI,GLEU,,65.41
44,Minimal,UAM-CSI,GLEU,,81.67
45,Minimal,UAM-CSI,GLEU,,69.88
46,Minimal,UAM-CSI,GLEU,,60.74
47,Minimal,UAM-CSI,GLEU,,43.59
48,Minimal,UAM-CSI,GLEU,,53.03
49,Minimal,UAM-CSI,GLEU,,53.02
50,Minimal,UAM-CSI,GLEU,,38.43
1,Fluency,UAM-CSI,GLEU,,36.7
2,Fluency,UAM-CSI,GLEU,,48.93
3,Fluency,UAM-CSI,GLEU,,36.48
4,Fluency,UAM-CSI,GLEU,,20.88
5,Fluency,UAM-CSI,GLEU,,58.91
6,Fluency,UAM-CSI,GLEU,,53.36
7,Fluency,UAM-CSI,GLEU,,54.78
8,Fluency,UAM-CSI,GLEU,,20.02
9,Fluency,UAM-CSI,GLEU,,26.68
10,Fluency,UAM-CSI,GLEU,,69.37
11,Fluency,UAM-CSI,GLEU,,59.2
12,Fluency,UAM-CSI,GLEU,,43.57
13,Fluency,UAM-CSI,GLEU,,56.53
14,Fluency,UAM-CSI,GLEU,,43.7
15,Fluency,UAM-CSI,GLEU,,65.37
16,Fluency,UAM-CSI,GLEU,,59.74
17,Fluency,UAM-CSI,GLEU,,60.43
18,Fluency,UAM-CSI,GLEU,,54.29
19,Fluency,UAM-CSI,GLEU,,35.12
20,Fluency,UAM-CSI,GLEU,,31.26
21,Fluency,UAM-CSI,GLEU,,43.07
22,Fluency,UAM-CSI,GLEU,,35.36
23,Fluency,UAM-CSI,GLEU,,54.81
24,Fluency,UAM-CSI,GLEU,,48.76
25,Fluency,UAM-CSI,GLEU,,84.1
26,Fluency,UAM-CSI,GLEU,,63.68
27,Fluency,UAM-CSI,GLEU,,59.11
28,Fluency,UAM-CSI,GLEU,,48.44
29,Fluency,UAM-CSI,GLEU,,67.35
30,Fluency,UAM-CSI,GLEU,,49.91
31,Fluency,UAM-CSI,GLEU,,54.45
32,Fluency,UAM-CSI,GLEU,,46.49
33,Fluency,UAM-CSI,GLEU,,40.7
34,Fluency,UAM-CSI,GLEU,,46.03
35,Fluency,UAM-CSI,GLEU,,60.75
36,Fluency,UAM-CSI,GLEU,,60.6
